provincia,poblacion,total,nuevas,lat,lng,semana,anio
Bolívar,209933,10791,376,"-1,605556","-79,003056",5,2022
Carchi,186869,12185,364,"0,81218","-77,71633",5,2022
Cañar,281396,12560,1056,"-2,733333","-78,833333",5,2022
Chimborazo,524004,14598,751,"-1,674347","-78,648294",5,2022
Cotopaxi,488716,16812,692,"-0,933333","-78,616667",5,2022
El Oro,715751,46008,3054,"-3,266667","-79,966667",5,2022
Esmeraldas,591083,13387,307,"1,05","-79,2",5,2022
Galápagos,33042,2871,166,"-0,8","-89,4",5,2022
Guayas,4387434,126393,3969,"-2,183333","-79,883333",5,2022
Imbabura,476257,25528,1437,"0,362678","-78,130667",5,2022
Loja,521154,28691,2317,"-3,983333","-79,2",5,2022
Los Ríos,921763,16850,257,"-1,8","-79,533333",5,2022
Manabí,1562079,51784,2125,"-1,056181","-80,455217",5,2022
Morona Santiago,196535,9711,391,"-2,3","-78,116667",5,2022
Napo,133705,6485,311,"-0,989","-77,8159",5,2022
Orellana,161338,5400,196,"-0,466667","-76,966667",5,2022
Pastaza,114202,4778,264,"-1,066667","-78,001111",5,2022
Pichincha,3228233,268912,16661,"-0,218611","-78,509722",5,2022
Santa Elena,401178,6287,158,"-2,2267","-80,8583",5,2022
Sto. Domingo Tsáchilas,511151,15832,578,"-0,254167","-79,171944",5,2022
Sucumbíos,230503,8438,246,"0,084722","-76,882778",5,2022
Tungurahua,590600,23990,1612,"-1,241667","-78,619722",5,2022
Zamora Chinchipe,120416,4758,230,"-4,12","-78,8",5,2022
Azuay,881394,38130,2030,"-2,897414","-79,004481",6,2022
Bolívar,209933,11081,290,"-1,605556","-79,003056",6,2022
Carchi,186869,12568,383,"0,81218","-77,71633",6,2022
Cañar,281396,13211,651,"-2,733333","-78,833333",6,2022
Chimborazo,524004,14993,395,"-1,674347","-78,648294",6,2022
Cotopaxi,488716,17192,380,"-0,933333","-78,616667",6,2022
El Oro,715751,47321,1313,"-3,266667","-79,966667",6,2022
Esmeraldas,591083,13610,223,"1,05","-79,2",6,2022
Galápagos,33042,2952,81,"-0,8","-89,4",6,2022
Guayas,4387434,129396,3003,"-2,183333","-79,883333",6,2022
Imbabura,476257,26620,1092,"0,362678","-78,130667",6,2022
Loja,521154,30770,2079,"-3,983333","-79,2",6,2022
Los Ríos,921763,17015,165,"-1,8","-79,533333",6,2022
Manabí,1562079,53089,1305,"-1,056181","-80,455217",6,2022
Morona Santiago,196535,9944,233,"-2,3","-78,116667",6,2022
Napo,133705,6591,106,"-0,989","-77,8159",6,2022
Orellana,161338,5610,210,"-0,466667","-76,966667",6,2022
Pastaza,114202,4977,199,"-1,066667","-78,001111",6,2022
Pichincha,3228233,283165,14253,"-0,218611","-78,509722",6,2022
Santa Elena,401178,6385,98,"-2,2267","-80,8583",6,2022
Sto. Domingo Tsáchilas,511151,16281,449,"-0,254167","-79,171944",6,2022
Sucumbíos,230503,8579,141,"0,084722","-76,882778",6,2022
Tungurahua,590600,24770,780,"-1,241667","-78,619722",6,2022
Zamora Chinchipe,120416,4890,132,"-4,12","-78,8",6,2022
Azuay,881394,39454,1324,"-2,897414","-79,004481",7,2022
Bolívar,209933,11266,185,"-1,605556","-79,003056",7,2022
Carchi,186869,12748,180,"0,81218","-77,71633",7,2022
Cañar,281396,13519,308,"-2,733333","-78,833333",7,2022
Chimborazo,524004,15242,249,"-1,674347","-78,648294",7,2022
Cotopaxi,488716,17489,297,"-0,933333","-78,616667",7,2022
El Oro,715751,48080,759,"-3,266667","-79,966667",7,2022
Esmeraldas,591083,13771,161,"1,05","-79,2",7,2022
Galápagos,33042,2979,27,"-0,8","-89,4",7,2022
Guayas,4387434,131222,1826,"-2,183333","-79,883333",7,2022
Imbabura,476257,27335,715,"0,362678","-78,130667",7,2022
Loja,521154,31819,1049,"-3,983333","-79,2",7,2022
Los Ríos,921763,17108,93,"-1,8","-79,533333",7,2022
Manabí,1562079,53840,751,"-1,056181","-80,455217",7,2022
Morona Santiago,196535,10264,320,"-2,3","-78,116667",7,2022
Napo,133705,6669,78,"-0,989","-77,8159",7,2022
Orellana,161338,5702,92,"-0,466667","-76,966667",7,2022
Pastaza,114202,5088,111,"-1,066667","-78,001111",7,2022
Pichincha,3228233,293833,10668,"-0,218611","-78,509722",7,2022
Santa Elena,401178,6434,49,"-2,2267","-80,8583",7,2022
Sto. Domingo Tsáchilas,511151,16585,304,"-0,254167","-79,171944",7,2022
Sucumbíos,230503,8626,47,"0,084722","-76,882778",7,2022
Tungurahua,590600,25828,1058,"-1,241667","-78,619722",7,2022
Zamora Chinchipe,120416,4985,95,"-4,12","-78,8",7,2022
Azuay,881394,39985,531,"-2,897414","-79,004481",8,2022
Bolívar,209933,11375,109,"-1,605556","-79,003056",8,2022
Carchi,186869,12850,102,"0,81218","-77,71633",8,2022
Cañar,281396,13784,265,"-2,733333","-78,833333",8,2022
Chimborazo,524004,15453,211,"-1,674347","-78,648294",8,2022
Cotopaxi,488716,17641,152,"-0,933333","-78,616667",8,2022
El Oro,715751,48685,605,"-3,266667","-79,966667",8,2022
Esmeraldas,591083,13857,86,"1,05","-79,2",8,2022
Galápagos,33042,3012,33,"-0,8","-89,4",8,2022
Guayas,4387434,132249,1027,"-2,183333","-79,883333",8,2022
Imbabura,476257,27701,366,"0,362678","-78,130667",8,2022
Loja,521154,32451,632,"-3,983333","-79,2",8,2022
Los Ríos,921763,17164,56,"-1,8","-79,533333",8,2022
Manabí,1562079,54361,521,"-1,056181","-80,455217",8,2022
Morona Santiago,196535,10364,100,"-2,3","-78,116667",8,2022
Napo,133705,6695,26,"-0,989","-77,8159",8,2022
Orellana,161338,5752,50,"-0,466667","-76,966667",8,2022
Pastaza,114202,5210,122,"-1,066667","-78,001111",8,2022
Pichincha,3228233,300785,6952,"-0,218611","-78,509722",8,2022
Santa Elena,401178,6448,14,"-2,2267","-80,8583",8,2022
Sto. Domingo Tsáchilas,511151,16634,49,"-0,254167","-79,171944",8,2022
Sucumbíos,230503,8683,57,"0,084722","-76,882778",8,2022
Tungurahua,590600,26201,373,"-1,241667","-78,619722",8,2022
Zamora Chinchipe,120416,5067,82,"-4,12","-78,8",8,2022
Azuay,881394,40165,180,"-2,897414","-79,004481",9,2022
Bolívar,209933,11438,63,"-1,605556","-79,003056",9,2022
Carchi,186869,12896,46,"0,81218","-77,71633",9,2022
Cañar,281396,13909,125,"-2,733333","-78,833333",9,2022
Chimborazo,524004,15606,153,"-1,674347","-78,648294",9,2022
Cotopaxi,488716,17707,66,"-0,933333","-78,616667",9,2022
El Oro,715751,48767,82,"-3,266667","-79,966667",9,2022
Esmeraldas,591083,13904,47,"1,05","-79,2",9,2022
Galápagos,33042,3026,14,"-0,8","-89,4",9,2022
Guayas,4387434,132766,517,"-2,183333","-79,883333",9,2022
Imbabura,476257,28911,1210,"0,362678","-78,130667",9,2022
Loja,521154,32742,291,"-3,983333","-79,2",9,2022
Los Ríos,921763,17193,29,"-1,8","-79,533333",9,2022
Manabí,1562079,54505,144,"-1,056181","-80,455217",9,2022
Morona Santiago,196535,10385,21,"-2,3","-78,116667",9,2022
Napo,133705,6708,13,"-0,989","-77,8159",9,2022
Orellana,161338,5770,18,"-0,466667","-76,966667",9,2022
Pastaza,114202,5222,12,"-1,066667","-78,001111",9,2022
Pichincha,3228233,306740,5955,"-0,218611","-78,509722",9,2022
Santa Elena,401178,6481,33,"-2,2267","-80,8583",9,2022
Sto. Domingo Tsáchilas,511151,16661,27,"-0,254167","-79,171944",9,2022
Sucumbíos,230503,8703,20,"0,084722","-76,882778",9,2022
Tungurahua,590600,26280,79,"-1,241667","-78,619722",9,2022
Zamora Chinchipe,120416,5090,23,"-4,12","-78,8",9,2022
Azuay,881394,40704,539,"-2,897414","-79,004481",10,2022
Bolívar,209933,11511,73,"-1,605556","-79,003056",10,2022
Carchi,186869,13025,129,"0,81218","-77,71633",10,2022
Cañar,281396,14172,263,"-2,733333","-78,833333",10,2022
Chimborazo,524004,15748,142,"-1,674347","-78,648294",10,2022
Cotopaxi,488716,17785,78,"-0,933333","-78,616667",10,2022
El Oro,715751,48895,128,"-3,266667","-79,966667",10,2022
Esmeraldas,591083,13955,51,"1,05","-79,2",10,2022
Galápagos,33042,3051,25,"-0,8","-89,4",10,2022
Guayas,4387434,133206,440,"-2,183333","-79,883333",10,2022
Imbabura,476257,29032,121,"0,362678","-78,130667",10,2022
Loja,521154,33082,340,"-3,983333","-79,2",10,2022
Los Ríos,921763,17207,14,"-1,8","-79,533333",10,2022
Manabí,1562079,54644,139,"-1,056181","-80,455217",10,2022
Morona Santiago,196535,10418,33,"-2,3","-78,116667",10,2022
Napo,133705,6722,14,"-0,989","-77,8159",10,2022
Orellana,161338,5788,18,"-0,466667","-76,966667",10,2022
Pastaza,114202,5251,29,"-1,066667","-78,001111",10,2022
Pichincha,3228233,311665,4925,"-0,218611","-78,509722",10,2022
Santa Elena,401178,6493,12,"-2,2267","-80,8583",10,2022
Sto. Domingo Tsáchilas,511151,16682,21,"-0,254167","-79,171944",10,2022
Sucumbíos,230503,8732,29,"0,084722","-76,882778",10,2022
Tungurahua,590600,26474,194,"-1,241667","-78,619722",10,2022
Zamora Chinchipe,120416,5144,54,"-4,12","-78,8",10,2022
Azuay,881394,41150,446,"-2,897414","-79,004481",11,2022
Bolívar,209933,11559,48,"-1,605556","-79,003056",11,2022
Carchi,186869,13063,38,"0,81218","-77,71633",11,2022
Cañar,281396,14275,103,"-2,733333","-78,833333",11,2022
Chimborazo,524004,15809,61,"-1,674347","-78,648294",11,2022
Cotopaxi,488716,17838,53,"-0,933333","-78,616667",11,2022
El Oro,715751,49064,169,"-3,266667","-79,966667",11,2022
Esmeraldas,591083,13966,11,"1,05","-79,2",11,2022
Galápagos,33042,3057,6,"-0,8","-89,4",11,2022
Guayas,4387434,133838,632,"-2,183333","-79,883333",11,2022
