provincia,poblacion,total,nuevas,lat,lng,semana,anio
Sucumbíos,230503,8789,1,"0,084722","-76,882778",18,2022
Tungurahua,590600,26970,48,"-1,241667","-78,619722",18,2022
Zamora Chinchipe,120416,5243,8,"-4,12","-78,8",18,2022
Azuay,881394,42960,107,"-2,897414","-79,004481",19,2022
Bolívar,209933,11685,4,"-1,605556","-79,003056",19,2022
Carchi,186869,13193,6,"0,81218","-77,71633",19,2022
Cañar,281396,14579,21,"-2,733333","-78,833333",19,2022
Chimborazo,524004,16032,10,"-1,674347","-78,648294",19,2022
Cotopaxi,488716,18048,13,"-0,933333","-78,616667",19,2022
El Oro,715751,49295,12,"-3,266667","-79,966667",19,2022
Esmeraldas,591083,14024,3,"1,05","-79,2",19,2022
Galápagos,33042,3108,0,"-0,8","-89,4",19,2022
Guayas,4387434,135442,238,"-2,183333","-79,883333",19,2022
Imbabura,476257,29603,15,"0,362678","-78,130667",19,2022
Loja,521154,33569,24,"-3,983333","-79,2",19,2022
Los Ríos,921763,17312,2,"-1,8","-79,533333",19,2022
Manabí,1562079,55171,16,"-1,056181","-80,455217",19,2022
Morona Santiago,196535,10510,1,"-2,3","-78,116667",19,2022
Napo,133705,6786,0,"-0,989","-77,8159",19,2022
Orellana,161338,5855,0,"-0,466667","-76,966667",19,2022
Pastaza,114202,5310,0,"-1,066667","-78,001111",19,2022
Pichincha,3228233,325654,937,"-0,218611","-78,509722",19,2022
Santa Elena,401178,6542,18,"-2,2267","-80,8583",19,2022
Sto. Domingo Tsáchilas,511151,16780,4,"-0,254167","-79,171944",19,2022
Sucumbíos,230503,8791,2,"0,084722","-76,882778",19,2022
Tungurahua,590600,27017,47,"-1,241667","-78,619722",19,2022
Zamora Chinchipe,120416,5243,0,"-4,12","-78,8",19,2022
Azuay,881394,43066,106,"-2,897414","-79,004481",20,2022
Bolívar,209933,11701,16,"-1,605556","-79,003056",20,2022
Carchi,186869,13208,15,"0,81218","-77,71633",20,2022
Cañar,281396,14614,35,"-2,733333","-78,833333",20,2022
Chimborazo,524004,16059,27,"-1,674347","-78,648294",20,2022
Cotopaxi,488716,18075,27,"-0,933333","-78,616667",20,2022
El Oro,715751,49309,14,"-3,266667","-79,966667",20,2022
Esmeraldas,591083,14030,6,"1,05","-79,2",20,2022
Galápagos,33042,3110,2,"-0,8","-89,4",20,2022
Guayas,4387434,135786,344,"-2,183333","-79,883333",20,2022
Imbabura,476257,29619,16,"0,362678","-78,130667",20,2022
Loja,521154,33621,52,"-3,983333","-79,2",20,2022
Los Ríos,921763,17324,12,"-1,8","-79,533333",20,2022
Manabí,1562079,55211,40,"-1,056181","-80,455217",20,2022
Morona Santiago,196535,10515,5,"-2,3","-78,116667",20,2022
Napo,133705,6792,6,"-0,989","-77,8159",20,2022
Orellana,161338,6034,179,"-0,466667","-76,966667",20,2022
Pastaza,114202,5312,2,"-1,066667","-78,001111",20,2022
Pichincha,3228233,326884,1230,"-0,218611","-78,509722",20,2022
Santa Elena,401178,6545,3,"-2,2267","-80,8583",20,2022
Sto. Domingo Tsáchilas,511151,16787,7,"-0,254167","-79,171944",20,2022
Sucumbíos,230503,8802,11,"0,084722","-76,882778",20,2022
Tungurahua,590600,27069,52,"-1,241667","-78,619722",20,2022
Zamora Chinchipe,120416,5246,3,"-4,12","-78,8",20,2022
Azuay,881394,43342,276,"-2,897414","-79,004481",21,2022
Bolívar,209933,11723,22,"-1,605556","-79,003056",21,2022
Carchi,186869,13218,10,"0,81218","-77,71633",21,2022
Cañar,281396,14645,31,"-2,733333","-78,833333",21,2022
Chimborazo,524004,16070,11,"-1,674347","-78,648294",21,2022
Cotopaxi,488716,18104,29,"-0,933333","-78,616667",21,2022
El Oro,715751,49322,13,"-3,266667","-79,966667",21,2022
Esmeraldas,591083,14034,4,"1,05","-79,2",21,2022
Galápagos,33042,3115,5,"-0,8","-89,4",21,2022
Guayas,4387434,136265,479,"-2,183333","-79,883333",21,2022
Imbabura,476257,29646,27,"0,362678","-78,130667",21,2022
Loja,521154,33653,32,"-3,983333","-79,2",21,2022
Los Ríos,921763,17329,5,"-1,8","-79,533333",21,2022
Manabí,1562079,55240,29,"-1,056181","-80,455217",21,2022
Morona Santiago,196535,10522,7,"-2,3","-78,116667",21,2022
Napo,133705,6794,2,"-0,989","-77,8159",21,2022
Orellana,161338,6042,8,"-0,466667","-76,966667",21,2022
Pastaza,114202,5314,2,"-1,066667","-78,001111",21,2022
Pichincha,3228233,328364,1480,"-0,218611","-78,509722",21,2022
Santa Elena,401178,6548,3,"-2,2267","-80,8583",21,2022
Sto. Domingo Tsáchilas,511151,16789,2,"-0,254167","-79,171944",21,2022
Sucumbíos,230503,8806,4,"0,084722","-76,882778",21,2022
Tungurahua,590600,27143,74,"-1,241667","-78,619722",21,2022
Zamora Chinchipe,120416,5254,8,"-4,12","-78,8",21,2022
Azuay,881394,43827,485,"-2,897414","-79,004481",22,2022
Bolívar,209933,11831,108,"-1,605556","-79,003056",22,2022
Carchi,186869,13244,26,"0,81218","-77,71633",22,2022
Cañar,281396,15057,412,"-2,733333","-78,833333",22,2022
Chimborazo,524004,16175,105,"-1,674347","-78,648294",22,2022
Cotopaxi,488716,18194,90,"-0,933333","-78,616667",22,2022
El Oro,715751,49609,287,"-3,266667","-79,966667",22,2022
Esmeraldas,591083,14158,124,"1,05","-79,2",22,2022
Galápagos,33042,3161,46,"-0,8","-89,4",22,2022
Guayas,4387434,137720,1455,"-2,183333","-79,883333",22,2022
Imbabura,476257,29809,163,"0,362678","-78,130667",22,2022
Loja,521154,33809,156,"-3,983333","-79,2",22,2022
Los Ríos,921763,17375,46,"-1,8","-79,533333",22,2022
Manabí,1562079,55474,234,"-1,056181","-80,455217",22,2022
Morona Santiago,196535,10536,14,"-2,3","-78,116667",22,2022
Napo,133705,6805,11,"-0,989","-77,8159",22,2022
Orellana,161338,6068,26,"-0,466667","-76,966667",22,2022
Pastaza,114202,5331,17,"-1,066667","-78,001111",22,2022
Pichincha,3228233,331823,3459,"-0,218611","-78,509722",22,2022
Santa Elena,401178,6556,8,"-2,2267","-80,8583",22,2022
Sto. Domingo Tsáchilas,511151,16806,17,"-0,254167","-79,171944",22,2022
Sucumbíos,230503,8816,10,"0,084722","-76,882778",22,2022
Tungurahua,590600,27866,723,"-1,241667","-78,619722",22,2022
Zamora Chinchipe,120416,5268,14,"-4,12","-78,8",22,2022
Azuay,881394,44279,452,"-2,897414","-79,004481",23,2022
Bolívar,209933,11877,46,"-1,605556","-79,003056",23,2022
Carchi,186869,13267,23,"0,81218","-77,71633",23,2022
Cañar,281396,15148,91,"-2,733333","-78,833333",23,2022
Chimborazo,524004,16249,74,"-1,674347","-78,648294",23,2022
Cotopaxi,488716,18316,122,"-0,933333","-78,616667",23,2022
El Oro,715751,49672,63,"-3,266667","-79,966667",23,2022
Esmeraldas,591083,14513,355,"1,05","-79,2",23,2022
Galápagos,33042,3166,5,"-0,8","-89,4",23,2022
Guayas,4387434,138372,652,"-2,183333","-79,883333",23,2022
Imbabura,476257,29869,60,"0,362678","-78,130667",23,2022
Loja,521154,33995,186,"-3,983333","-79,2",23,2022
Los Ríos,921763,17391,16,"-1,8","-79,533333",23,2022
Manabí,1562079,55605,131,"-1,056181","-80,455217",23,2022
Morona Santiago,196535,10558,22,"-2,3","-78,116667",23,2022
Napo,133705,6813,8,"-0,989","-77,8159",23,2022
Orellana,161338,6072,4,"-0,466667","-76,966667",23,2022
Pastaza,114202,5342,11,"-1,066667","-78,001111",23,2022
Pichincha,3228233,334683,2860,"-0,218611","-78,509722",23,2022
Santa Elena,401178,6638,82,"-2,2267","-80,8583",23,2022
Sto. Domingo Tsáchilas,511151,16812,6,"-0,254167","-79,171944",23,2022
Sucumbíos,230503,8830,14,"0,084722","-76,882778",23,2022
Tungurahua,590600,28108,242,"-1,241667","-78,619722",23,2022
Zamora Chinchipe,120416,5277,9,"-4,12","-78,8",23,2022
Azuay,881394,44976,697,"-2,897414","-79,004481",24,2022
Bolívar,209933,11949,72,"-1,605556","-79,003056",24,2022
Carchi,186869,13297,30,"0,81218","-77,71633",24,2022
Cañar,281396,15304,156,"-2,733333","-78,833333",24,2022
Chimborazo,524004,16303,54,"-1,674347","-78,648294",24,2022
Cotopaxi,488716,18414,98,"-0,933333","-78,616667",24,2022
El Oro,715751,49781,109,"-3,266667","-79,966667",24,2022
Esmeraldas,591083,14619,106,"1,05","-79,2",24,2022
Galápagos,33042,3172,6,"-0,8","-89,4",24,2022
Guayas,4387434,139166,794,"-2,183333","-79,883333",24,2022
Imbabura,476257,29960,91,"0,362678","-78,130667",24,2022
Loja,521154,34405,410,"-3,983333","-79,2",24,2022
Los Ríos,921763,17424,33,"-1,8","-79,533333",24,2022
Manabí,1562079,55796,191,"-1,056181","-80,455217",24,2022
Morona Santiago,196535,10608,50,"-2,3","-78,116667",24,2022
Napo,133705,6821,8,"-0,989","-77,8159",24,2022
Orellana,161338,6082,10,"-0,466667","-76,966667",24,2022
Pastaza,114202,5398,56,"-1,066667","-78,001111",24,2022
Pichincha,3228233,338989,4306,"-0,218611","-78,509722",24,2022
Santa Elena,401178,6642,4,"-2,2267","-80,8583",24,2022
Sto. Domingo Tsáchilas,511151,16828,16,"-0,254167","-79,171944",24,2022
Sucumbíos,230503,8836,6,"0,084722","-76,882778",24,2022
Tungurahua,590600,28400,292,"-1,241667","-78,619722",24,2022
Zamora Chinchipe,120416,5299,22,"-4,12","-78,8",24,2022
Azuay,881394,45821,845,"-2,897414","-79,004481",25,2022
Bolívar,209933,11997,48,"-1,605556","-79,003056",25,2022
Carchi,186869,13334,37,"0,81218","-77,71633",25,2022
Cañar,281396,15522,218,"-2,733333","-78,833333",25,2022
Chimborazo,524004,16350,47,"-1,674347","-78,648294",25,2022
Cotopaxi,488716,18498,84,"-0,933333","-78,616667",25,2022
El Oro,715751,49910,129,"-3,266667","-79,966667",25,2022
Esmeraldas,591083,14664,45,"1,05","-79,2",25,2022
Galápagos,33042,3181,9,"-0,8","-89,4",25,2022
Guayas,4387434,140046,880,"-2,183333","-79,883333",25,2022
Imbabura,476257,30045,85,"0,362678","-78,130667",25,2022
Loja,521154,35040,635,"-3,983333","-79,2",25,2022
Los Ríos,921763,17455,31,"-1,8","-79,533333",25,2022
Manabí,1562079,56020,224,"-1,056181","-80,455217",25,2022
Morona Santiago,196535,10672,64,"-2,3","-78,116667",25,2022
Napo,133705,6847,26,"-0,989","-77,8159",25,2022
Orellana,161338,6097,15,"-0,466667","-76,966667",25,2022
Pastaza,114202,5412,14,"-1,066667","-78,001111",25,2022
Pichincha,3228233,343227,4238,"-0,218611","-78,509722",25,2022
Santa Elena,401178,6648,6,"-2,2267","-80,8583",25,2022
Sto. Domingo Tsáchilas,511151,16878,50,"-0,254167","-79,171944",25,2022
Sucumbíos,230503,8862,26,"0,084722","-76,882778",25,2022
Tungurahua,590600,28572,172,"-1,241667","-78,619722",25,2022
Zamora Chinchipe,120416,5323,24,"-4,12","-78,8",25,2022
Azuay,881394,46361,540,"-2,897414","-79,004481",26,2022
Bolívar,209933,12054,57,"-1,605556","-79,003056",26,2022
Carchi,186869,13385,51,"0,81218","-77,71633",26,2022
Cañar,281396,15688,166,"-2,733333","-78,833333",26,2022
Chimborazo,524004,16386,36,"-1,674347","-78,648294",26,2022
Cotopaxi,488716,18542,44,"-0,933333","-78,616667",26,2022
El Oro,715751,50132,222,"-3,266667","-79,966667",26,2022
Esmeraldas,591083,14763,99,"1,05","-79,2",26,2022
Galápagos,33042,3186,5,"-0,8","-89,4",26,2022
Guayas,4387434,141099,1053,"-2,183333","-79,883333",26,2022
Imbabura,476257,30168,123,"0,362678","-78,130667",26,2022
Loja,521154,35600,560,"-3,983333","-79,2",26,2022
Los Ríos,921763,17486,31,"-1,8","-79,533333",26,2022
Manabí,1562079,56429,409,"-1,056181","-80,455217",26,2022
Morona Santiago,196535,10711,39,"-2,3","-78,116667",26,2022
Napo,133705,6860,13,"-0,989","-77,8159",26,2022
Orellana,161338,6116,19,"-0,466667","-76,966667",26,2022
Pastaza,114202,5416,4,"-1,066667","-78,001111",26,2022
Pichincha,3228233,346836,3609,"-0,218611","-78,509722",26,2022
Santa Elena,401178,6651,3,"-2,2267","-80,8583",26,2022
Sto. Domingo Tsáchilas,511151,16959,81,"-0,254167","-79,171944",26,2022
Sucumbíos,230503,8908,46,"0,084722","-76,882778",26,2022
Tungurahua,590600,28700,128,"-1,241667","-78,619722",26,2022
Zamora Chinchipe,120416,5362,39,"-4,12","-78,8",26,2022
Azuay,881394,46864,503,"-2,897414","-79,004481",27,2022
Bolívar,209933,12153,99,"-1,605556","-79,003056",27,2022
Carchi,186869,13458,73,"0,81218","-77,71633",27,2022
Cañar,281396,15898,210,"-2,733333","-78,833333",27,2022
Chimborazo,524004,16459,73,"-1,674347","-78,648294",27,2022
Cotopaxi,488716,18665,123,"-0,933333","-78,616667",27,2022
El Oro,715751,50474,342,"-3,266667","-79,966667",27,2022
Esmeraldas,591083,14957,194,"1,05","-79,2",27,2022
Galápagos,33042,3203,17,"-0,8","-89,4",27,2022
Guayas,4387434,142779,1680,"-2,183333","-79,883333",27,2022
Imbabura,476257,30320,152,"0,362678","-78,130667",27,2022
Loja,521154,36155,555,"-3,983333","-79,2",27,2022
Los Ríos,921763,17548,62,"-1,8","-79,533333",27,2022
Manabí,1562079,57450,1021,"-1,056181","-80,455217",27,2022
Morona Santiago,196535,10778,67,"-2,3","-78,116667",27,2022
Napo,133705,6925,65,"-0,989","-77,8159",27,2022
Orellana,161338,6140,24,"-0,466667","-76,966667",27,2022
Pastaza,114202,5425,9,"-1,066667","-78,001111",27,2022
Pichincha,3228233,349467,2631,"-0,218611","-78,509722",27,2022
Santa Elena,401178,6665,14,"-2,2267","-80,8583",27,2022
Sto. Domingo Tsáchilas,511151,17098,139,"-0,254167","-79,171944",27,2022
Sucumbíos,230503,9019,111,"0,084722","-76,882778",27,2022
Tungurahua,590600,28861,161,"-1,241667","-78,619722",27,2022
Zamora Chinchipe,120416,5405,43,"-4,12","-78,8",27,2022
Azuay,881394,47556,692,"-2,897414","-79,004481",28,2022
Bolívar,209933,12421,268,"-1,605556","-79,003056",28,2022
Carchi,186869,13605,147,"0,81218","-77,71633",28,2022
Cañar,281396,16181,283,"-2,733333","-78,833333",28,2022
Chimborazo,524004,16580,121,"-1,674347","-78,648294",28,2022
Cotopaxi,488716,18913,248,"-0,933333","-78,616667",28,2022
El Oro,715751,51010,536,"-3,266667","-79,966667",28,2022
Esmeraldas,591083,15186,229,"1,05","-79,2",28,2022
Galápagos,33042,3223,20,"-0,8","-89,4",28,2022
Guayas,4387434,145224,2445,"-2,183333","-79,883333",28,2022
Imbabura,476257,30634,314,"0,362678","-78,130667",28,2022
Loja,521154,36874,719,"-3,983333","-79,2",28,2022
Los Ríos,921763,17703,155,"-1,8","-79,533333",28,2022
Manabí,1562079,59029,1579,"-1,056181","-80,455217",28,2022
Morona Santiago,196535,10931,153,"-2,3","-78,116667",28,2022
Napo,133705,7021,96,"-0,989","-77,8159",28,2022
Orellana,161338,6235,95,"-0,466667","-76,966667",28,2022
Pastaza,114202,5456,31,"-1,066667","-78,001111",28,2022
Pichincha,3228233,354029,4562,"-0,218611","-78,509722",28,2022
Santa Elena,401178,6691,26,"-2,2267","-80,8583",28,2022
Sto. Domingo Tsáchilas,511151,17432,334,"-0,254167","-79,171944",28,2022
Sucumbíos,230503,9206,187,"0,084722","-76,882778",28,2022
Tungurahua,590600,29221,360,"-1,241667","-78,619722",28,2022
Zamora Chinchipe,120416,5460,55,"-4,12","-78,8",28,2022
Azuay,881394,48277,721,"-2,897414","-79,004481",29,2022
Bolívar,209933,13018,597,"-1,605556","-79,003056",29,2022
Carchi,186869,13844,239,"0,81218","-77,71633",29,2022
Cañar,281396,16527,346,"-2,733333","-78,833333",29,2022
Chimborazo,524004,16960,380,"-1,674347","-78,648294",29,2022
Cotopaxi,488716,19631,718,"-0,933333","-78,616667",29,2022
El Oro,715751,51748,738,"-3,266667","-79,966667",29,2022
Esmeraldas,591083,15428,242,"1,05","-79,2",29,2022
Galápagos,33042,3246,23,"-0,8","-89,4",29,2022
Guayas,4387434,148109,2885,"-2,183333","-79,883333",29,2022
Imbabura,476257,31283,649,"0,362678","-78,130667",29,2022
Loja,521154,37505,631,"-3,983333","-79,2",29,2022
Los Ríos,921763,18028,325,"-1,8","-79,533333",29,2022
Manabí,1562079,61110,2081,"-1,056181","-80,455217",29,2022
Morona Santiago,196535,11140,209,"-2,3","-78,116667",29,2022
Napo,133705,7173,152,"-0,989","-77,8159",29,2022
Orellana,161338,6423,188,"-0,466667","-76,966667",29,2022
Pastaza,114202,5568,112,"-1,066667","-78,001111",29,2022
Pichincha,3228233,360184,6155,"-0,218611","-78,509722",29,2022
Santa Elena,401178,6761,70,"-2,2267","-80,8583",29,2022
Sto. Domingo Tsáchilas,511151,17809,377,"-0,254167","-79,171944",29,2022
Sucumbíos,230503,9570,364,"0,084722","-76,882778",29,2022
Tungurahua,590600,29975,754,"-1,241667","-78,619722",29,2022
Zamora Chinchipe,120416,5527,67,"-4,12","-78,8",29,2022
Azuay,881394,49066,789,"-2,897414","-79,004481",30,2022
Bolívar,209933,13787,769,"-1,605556","-79,003056",30,2022
Carchi,186869,14019,175,"0,81218","-77,71633",30,2022
Cañar,281396,16864,337,"-2,733333","-78,833333",30,2022
Chimborazo,524004,17458,498,"-1,674347","-78,648294",30,2022
Cotopaxi,488716,20325,694,"-0,933333","-78,616667",30,2022
El Oro,715751,52500,752,"-3,266667","-79,966667",30,2022
Esmeraldas,591083,15702,274,"1,05","-79,2",30,2022
Galápagos,33042,3376,130,"-0,8","-89,4",30,2022
Guayas,4387434,151042,2933,"-2,183333","-79,883333",30,2022
Imbabura,476257,31944,661,"0,362678","-78,130667",30,2022
Loja,521154,37993,488,"-3,983333","-79,2",30,2022
Los Ríos,921763,18367,339,"-1,8","-79,533333",30,2022
Manabí,1562079,62865,1755,"-1,056181","-80,455217",30,2022
Morona Santiago,196535,11424,284,"-2,3","-78,116667",30,2022
Napo,133705,7308,135,"-0,989","-77,8159",30,2022
Orellana,161338,6638,215,"-0,466667","-76,966667",30,2022
Pastaza,114202,5670,102,"-1,066667","-78,001111",30,2022
Pichincha,3228233,365319,5135,"-0,218611","-78,509722",30,2022
Santa Elena,401178,6846,85,"-2,2267","-80,8583",30,2022
Sto. Domingo Tsáchilas,511151,18105,296,"-0,254167","-79,171944",30,2022
Sucumbíos,230503,9856,286,"0,084722","-76,882778",30,2022
Tungurahua,590600,30770,795,"-1,241667","-78,619722",30,2022
Zamora Chinchipe,120416,5588,61,"-4,12","-78,8",30,2022
Azuay,881394,49402,336,"-2,897414","-79,004481",31,2022
Bolívar,209933,14042,255,"-1,605556","-79,003056",31,2022
Carchi,186869,14346,327,"0,81218","-77,71633",31,2022
Cañar,281396,17182,318,"-2,733333","-78,833333",31,2022
Chimborazo,524004,17715,257,"-1,674347","-78,648294",31,2022
Cotopaxi,488716,20479,154,"-0,933333","-78,616667",31,2022
El Oro,715751,52981,481,"-3,266667","-79,966667",31,2022
Esmeraldas,591083,15979,277,"1,05","-79,2",31,2022
Galápagos,33042,3467,91,"-0,8","-89,4",31,2022
Guayas,4387434,151520,478,"-2,183333","-79,883333",31,2022
Imbabura,476257,32506,562,"0,362678","-78,130667",31,2022
Loja,521154,38240,247,"-3,983333","-79,2",31,2022
Los Ríos,921763,18549,182,"-1,8","-79,533333",31,2022
Manabí,1562079,63885,1020,"-1,056181","-80,455217",31,2022
Morona Santiago,196535,11739,315,"-2,3","-78,116667",31,2022
Napo,133705,7489,181,"-0,989","-77,8159",31,2022
Orellana,161338,6762,124,"-0,466667","-76,966667",31,2022
Pastaza,114202,5713,43,"-1,066667","-78,001111",31,2022
Pichincha,3228233,366984,1665,"-0,218611","-78,509722",31,2022
Santa Elena,401178,6903,57,"-2,2267","-80,8583",31,2022
Sto. Domingo Tsáchilas,511151,18187,82,"-0,254167","-79,171944",31,2022
Sucumbíos,230503,10179,323,"0,084722","-76,882778",31,2022
Tungurahua,590600,30984,214,"-1,241667","-78,619722",31,2022
Zamora Chinchipe,120416,5634,46,"-4,12","-78,8",31,2022
Azuay,881394,49588,186,"-2,897414","-79,004481",32,2022
Bolívar,209933,14140,98,"-1,605556","-79,003056",32,2022
Carchi,186869,14421,75,"0,81218","-77,71633",32,2022
Cañar,281396,17309,127,"-2,733333","-78,833333",32,2022
Chimborazo,524004,17756,41,"-1,674347","-78,648294",32,2022
Cotopaxi,488716,20549,70,"-0,933333","-78,616667",32,2022
El Oro,715751,53131,150,"-3,266667","-79,966667",32,2022
Esmeraldas,591083,16061,82,"1,05","-79,2",32,2022
Galápagos,33042,3490,23,"-0,8","-89,4",32,2022
Guayas,4387434,151698,178,"-2,183333","-79,883333",32,2022
Imbabura,476257,32594,88,"0,362678","-78,130667",32,2022
Loja,521154,38371,131,"-3,983333","-79,2",32,2022
Los Ríos,921763,18613,64,"-1,8","-79,533333",32,2022
Manabí,1562079,64463,578,"-1,056181","-80,455217",32,2022
Morona Santiago,196535,11904,165,"-2,3","-78,116667",32,2022
Napo,133705,7551,62,"-0,989","-77,8159",32,2022
Orellana,161338,6781,19,"-0,466667","-76,966667",32,2022
Pastaza,114202,5729,16,"-1,066667","-78,001111",32,2022
Pichincha,3228233,367358,374,"-0,218611","-78,509722",32,2022
Santa Elena,401178,6921,18,"-2,2267","-80,8583",32,2022
Sto. Domingo Tsáchilas,511151,18223,36,"-0,254167","-79,171944",32,2022
Sucumbíos,230503,10214,35,"0,084722","-76,882778",32,2022
Tungurahua,590600,31010,26,"-1,241667","-78,619722",32,2022
Zamora Chinchipe,120416,5666,32,"-4,12","-78,8",32,2022
Azuay,881394,50097,509,"-2,897414","-79,004481",33,2022
Bolívar,209933,14305,165,"-1,605556","-79,003056",33,2022
Carchi,186869,14528,107,"0,81218","-77,71633",33,2022
Cañar,281396,17465,156,"-2,733333","-78,833333",33,2022
Chimborazo,524004,17994,238,"-1,674347","-78,648294",33,2022
Cotopaxi,488716,20858,309,"-0,933333","-78,616667",33,2022
El Oro,715751,53436,305,"-3,266667","-79,966667",33,2022
Esmeraldas,591083,16187,126,"1,05","-79,2",33,2022
Galápagos,33042,3503,13,"-0,8","-89,4",33,2022
Guayas,4387434,152333,635,"-2,183333","-79,883333",33,2022
Imbabura,476257,32927,333,"0,362678","-78,130667",33,2022
Loja,521154,38651,280,"-3,983333","-79,2",33,2022
Los Ríos,921763,18711,98,"-1,8","-79,533333",33,2022
Manabí,1562079,65152,689,"-1,056181","-80,455217",33,2022
Morona Santiago,196535,12057,153,"-2,3","-78,116667",33,2022
Napo,133705,7715,164,"-0,989","-77,8159",33,2022
Orellana,161338,6814,33,"-0,466667","-76,966667",33,2022
Pastaza,114202,5772,43,"-1,066667","-78,001111",33,2022
Pichincha,3228233,369019,1661,"-0,218611","-78,509722",33,2022
Santa Elena,401178,7065,144,"-2,2267","-80,8583",33,2022
Sto. Domingo Tsáchilas,511151,18283,60,"-0,254167","-79,171944",33,2022
Sucumbíos,230503,10319,105,"0,084722","-76,882778",33,2022
Tungurahua,590600,31505,495,"-1,241667","-78,619722",33,2022
Zamora Chinchipe,120416,5709,43,"-4,12","-78,8",33,2022
Azuay,881394,50457,360,"-2,897414","-79,004481",34,2022
Bolívar,209933,14386,81,"-1,605556","-79,003056",34,2022
Carchi,186869,14578,50,"0,81218","-77,71633",34,2022
Cañar,281396,17535,70,"-2,733333","-78,833333",34,2022
Chimborazo,524004,18052,58,"-1,674347","-78,648294",34,2022
Cotopaxi,488716,21059,201,"-0,933333","-78,616667",34,2022
El Oro,715751,53697,261,"-3,266667","-79,966667",34,2022
Esmeraldas,591083,16228,41,"1,05","-79,2",34,2022
Galápagos,33042,3524,21,"-0,8","-89,4",34,2022
Guayas,4387434,152736,403,"-2,183333","-79,883333",34,2022
Imbabura,476257,33012,85,"0,362678","-78,130667",34,2022
Loja,521154,38901,250,"-3,983333","-79,2",34,2022
Los Ríos,921763,18803,92,"-1,8","-79,533333",34,2022
Manabí,1562079,65475,323,"-1,056181","-80,455217",34,2022
Morona Santiago,196535,12175,118,"-2,3","-78,116667",34,2022
Napo,133705,7748,33,"-0,989","-77,8159",34,2022
Orellana,161338,6820,6,"-0,466667","-76,966667",34,2022
Pastaza,114202,5777,5,"-1,066667","-78,001111",34,2022
Pichincha,3228233,370748,1729,"-0,218611","-78,509722",34,2022
Santa Elena,401178,7272,207,"-2,2267","-80,8583",34,2022
Sto. Domingo Tsáchilas,511151,18391,108,"-0,254167","-79,171944",34,2022
Sucumbíos,230503,10346,27,"0,084722","-76,882778",34,2022
Tungurahua,590600,31654,149,"-1,241667","-78,619722",34,2022
Zamora Chinchipe,120416,5773,64,"-4,12","-78,8",34,2022
Azuay,881394,50736,279,"-2,897414","-79,004481",35,2022
Bolívar,209933,14465,79,"-1,605556","-79,003056",35,2022
Carchi,186869,14604,26,"0,81218","-77,71633",35,2022
Cañar,281396,17588,53,"-2,733333","-78,833333",35,2022
Chimborazo,524004,18078,26,"-1,674347","-78,648294",35,2022
Cotopaxi,488716,21150,91,"-0,933333","-78,616667",35,2022
El Oro,715751,54014,317,"-3,266667","-79,966667",35,2022
Esmeraldas,591083,16266,38,"1,05","-79,2",35,2022
Galápagos,33042,3541,17,"-0,8","-89,4",35,2022
Guayas,4387434,152872,136,"-2,183333","-79,883333",35,2022
Imbabura,476257,33076,64,"0,362678","-78,130667",35,2022
Loja,521154,39042,141,"-3,983333","-79,2",35,2022
Los Ríos,921763,18838,35,"-1,8","-79,533333",35,2022
Manabí,1562079,65669,194,"-1,056181","-80,455217",35,2022
Morona Santiago,196535,12281,106,"-2,3","-78,116667",35,2022
Napo,133705,7770,22,"-0,989","-77,8159",35,2022
Orellana,161338,6829,9,"-0,466667","-76,966667",35,2022
Pastaza,114202,5787,10,"-1,066667","-78,001111",35,2022
Pichincha,3228233,371327,579,"-0,218611","-78,509722",35,2022
Santa Elena,401178,7306,34,"-2,2267","-80,8583",35,2022
Sto. Domingo Tsáchilas,511151,18450,59,"-0,254167","-79,171944",35,2022
Sucumbíos,230503,10356,10,"0,084722","-76,882778",35,2022
Tungurahua,590600,31700,46,"-1,241667","-78,619722",35,2022
Zamora Chinchipe,120416,5795,22,"-4,12","-78,8",35,2022
Azuay,881394,50857,121,"-2,897414","-79,004481",36,2022
Bolívar,209933,14547,82,"-1,605556","-79,003056",36,2022
Carchi,186869,14618,14,"0,81218","-77,71633",36,2022
Cañar,281396,17634,46,"-2,733333","-78,833333",36,2022
Chimborazo,524004,18124,46,"-1,674347","-78,648294",36,2022
Cotopaxi,488716,21185,35,"-0,933333","-78,616667",36,2022
El Oro,715751,54103,89,"-3,266667","-79,966667",36,2022
Esmeraldas,591083,16276,10,"1,05","-79,2",36,2022
Galápagos,33042,3570,29,"-0,8","-89,4",36,2022
Guayas,4387434,152959,87,"-2,183333","-79,883333",36,2022
Imbabura,476257,33128,52,"0,362678","-78,130667",36,2022
Loja,521154,39252,210,"-3,983333","-79,2",36,2022
Los Ríos,921763,18878,40,"-1,8","-79,533333",36,2022
Manabí,1562079,65777,108,"-1,056181","-80,455217",36,2022
Morona Santiago,196535,12354,73,"-2,3","-78,116667",36,2022
Napo,133705,7794,24,"-0,989","-77,8159",36,2022
Orellana,161338,6841,12,"-0,466667","-76,966667",36,2022
Pastaza,114202,5789,2,"-1,066667","-78,001111",36,2022
Pichincha,3228233,372315,988,"-0,218611","-78,509722",36,2022
Santa Elena,401178,7325,19,"-2,2267","-80,8583",36,2022
Sto. Domingo Tsáchilas,511151,18496,46,"-0,254167","-79,171944",36,2022
Sucumbíos,230503,10362,6,"0,084722","-76,882778",36,2022
