zona,region,provincia,poblacion,semana,mes,anio,primera_dosis,dosis_refuerzo,dosis_total,dosis_unica,segunda_dosis
8,costa,Guayas,4387434,18,5,2021,234567,0,284329,0,49762
2,amazonia,Pastaza,114202,13,3,2021,10613,0,12266,0,1653
6,sierra,Azuay,881394,32,8,2021,3934179,0,5225258,0,1291079
1,sierra,Carchi,186869,26,6,2021,296680,0,424069,0,127389
1,sierra,Carchi,186869,2,1,2022,1221898,118666,2441901,52571,1048766
5,costa,Los Ríos,921763,27,6,2021,564582,0,767564,0,202982
1,sierra,Imbabura,476257,49,12,2021,1514970,72974,2976279,52121,1336214
6,sierra,Azuay,881394,45,11,2021,3706613,49618,7038295,82203,3199861
5,costa,Los Ríos,921763,32,8,2021,3233093,0,4175834,0,942741
7,costa,El Oro,715751,12,3,2021,78862,0,81716,0,2854
2,amazonia,Napo,133705,51,12,2021,753584,33399,1426017,24273,614761
1,sierra,Carchi,186869,13,3,2021,40175,0,43720,0,3545
8,costa,Guayas,4387434,16,4,2021,885963,0,1085557,0,199594
6,amazonia,Morona Santiago,196535,14,3,2021,21162,0,23562,0,2400
1,sierra,Imbabura,476257,25,6,2021,671208,0,913851,0,242643
3,sierra,Chimborazo,524004,50,12,2021,2723541,175519,5155561,89232,2167269
3,sierra,Bolívar,209933,45,11,2021,863805,2450,1549519,36745,646519
3,sierra,Cotopaxi,488716,1,1,2022,387305,35602,790647,27394,340346
