zona,region,provincia,poblacion,semana,mes,anio,primera_dosis,dosis_refuerzo,dosis_total,dosis_unica,segunda_dosis
2,amazonia,Orellana,161338,49,12,2021,493166,8363,897256,17895,377832
3,sierra,Bolívar,209933,18,4,2021,92367,0,115353,0,22986
5,costa,Los Ríos,921763,42,10,2021,3658862,0,6875376,153707,3062807
1,sierra,Carchi,186869,14,3,2021,27092,0,29752,0,2660
7,amazonia,Zamora Chinchipe,120416,4,1,2022,647244,91771,1316285,22743,554527
7,sierra,Loja,521154,25,6,2021,836167,0,1245115,0,408948
2,amazonia,Sucumbíos,230503,53,12,2021,994927,50000,1920826,50915,824984
7,costa,El Oro,715751,24,6,2021,700051,0,942329,0,242278
3,sierra,Chimborazo,524004,46,11,2021,2500869,47266,4541148,81583,1911430
9,sierra,Pichincha,3228233,5,1,2021,12007,0,12007,0,0
2,amazonia,Napo,133705,19,5,2021,116615,0,137539,0,20924
7,costa,El Oro,715751,34,8,2021,3448553,0,5448442,6173,1993716
1,costa,Esmeraldas,591083,4,1,2022,3106850,329684,6329590,233692,2659364
2,amazonia,Napo,133705,40,9,2021,411109,0,763423,11803,340511
3,sierra,Chimborazo,524004,30,7,2021,1558740,0,2008973,0,450233
2,amazonia,Napo,133705,49,11,2021,317279,7081,580805,9647,246798
6,amazonia,Morona Santiago,196535,43,10,2021,579876,244,1097094,52020,464954
7,costa,El Oro,715751,18,5,2021,60434,0,71623,0,11189
7,costa,El Oro,715751,41,10,2021,3519362,0,6642682,81560,3041760
2,amazonia,Pastaza,114202,4,1,2022,530178,83011,1117440,47494,456757
3,sierra,Chimborazo,524004,11,3,2021,18572,0,20713,0,2141
7,costa,El Oro,715751,10,3,2021,15293,0,16665,0,1372
2,amazonia,Orellana,161338,36,9,2021,376332,0,667755,5008,286415
9,sierra,Pichincha,3228233,12,3,2021,451513,0,493873,0,42360
1,costa,Esmeraldas,591083,2,1,2022,3041147,185459,6006127,212370,2567151
3,sierra,Bolívar,209933,40,9,2021,649213,0,1199778,26516,524049
1,costa,Esmeraldas,591083,41,10,2021,2324542,0,4374492,129410,1920540
6,amazonia,Morona Santiago,196535,6,2,2021,1140,0,1140,0,0
8,costa,Guayas,4387434,39,9,2021,17719597,0,33790609,547261,15523751
3,sierra,Cotopaxi,488716,38,9,2021,2058768,0,3958315,125499,1774048
4,costa,Sto. Domingo Tsáchilas,511151,23,5,2021,98094,0,127447,0,29353
2,amazonia,Napo,133705,8,2,2021,931,0,931,0,0
6,amazonia,Morona Santiago,196535,9,2,2021,2219,0,2403,0,184
1,sierra,Carchi,186869,4,1,2022,1231124,186121,2539103,57762,1064096
5,costa,Los Ríos,921763,10,2,2021,1596,0,1800,0,204
6,amazonia,Morona Santiago,196535,53,12,2021,653864,54763,1315146,63512,543007
2,amazonia,Napo,133705,3,1,2022,771842,57378,1520344,26057,665067
1,sierra,Carchi,186869,36,8,2021,457375,0,772417,3010,312032
7,costa,El Oro,715751,27,6,2021,519791,0,735384,0,215593
5,costa,Los Ríos,921763,43,10,2021,3775703,65,7021804,158045,3087991
1,sierra,Carchi,186869,32,8,2021,1033793,0,1294843,0,261050
7,sierra,Loja,521154,7,2,2021,2030,0,2030,0,0
3,sierra,Chimborazo,524004,14,3,2021,61432,0,64376,0,2944
5,insular,Galápagos,33042,14,4,2021,30097,0,31050,0,953
5,costa,Santa Elena,401178,10,2,2021,927,0,983,0,56
6,sierra,Azuay,881394,21,5,2021,887153,0,1170919,0,283766
7,costa,El Oro,715751,23,5,2021,173212,0,228322,0,55110
4,costa,Sto. Domingo Tsáchilas,511151,7,2,2021,2016,0,2016,0,0
3,sierra,Bolívar,209933,13,3,2021,32569,0,35575,0,3006
5,costa,Los Ríos,921763,5,1,2021,1664,0,1664,0,0
2,amazonia,Sucumbíos,230503,36,8,2021,371607,0,651935,6948,273380
1,costa,Esmeraldas,591083,28,7,2021,806519,0,1060949,0,254430
3,sierra,Tungurahua,590600,5,1,2021,238,0,238,0,0
7,amazonia,Zamora Chinchipe,120416,10,2,2021,646,0,792,0,146
3,sierra,Bolívar,209933,49,12,2021,654723,29324,1198648,26137,488464
3,sierra,Bolívar,209933,10,3,2021,6845,0,7175,0,330
4,costa,Sto. Domingo Tsáchilas,511151,43,10,2021,2019413,94,3835252,185375,1630370
2,amazonia,Napo,133705,14,4,2021,14253,0,18237,0,3984
5,costa,Los Ríos,921763,14,4,2021,51177,0,56966,0,5789
5,costa,Los Ríos,921763,52,12,2021,4605664,190586,8591593,181933,3613410
6,sierra,Azuay,881394,34,8,2021,4031674,0,6687114,3838,2651602
2,amazonia,Napo,133705,5,1,2022,669225,65892,1339061,22864,581080
3,sierra,Bolívar,209933,17,4,2021,84679,0,103152,0,18473
6,sierra,Azuay,881394,44,10,2021,4286329,29968,8118280,95212,3706771
4,costa,Manabí,1562079,8,2,2021,18225,0,19692,0,1467
2,amazonia,Orellana,161338,27,7,2021,74473,0,98778,0,24305
7,costa,El Oro,715751,10,2,2021,1780,0,2007,0,227
2,amazonia,Orellana,161338,17,4,2021,36794,0,47955,0,11161
7,amazonia,Zamora Chinchipe,120416,11,3,2021,9412,0,10434,0,1022
1,sierra,Carchi,186869,15,4,2021,56175,0,68942,0,12767
7,costa,El Oro,715751,23,6,2021,456976,0,608155,0,151179
2,amazonia,Sucumbíos,230503,37,9,2021,859082,0,1582429,29593,693754
1,sierra,Carchi,186869,30,7,2021,821415,0,996280,0,174865
2,amazonia,Sucumbíos,230503,5,1,2022,1032736,129384,2094702,54987,877595
3,sierra,Chimborazo,524004,17,4,2021,281001,0,324818,0,43817
4,costa,Manabí,1562079,23,5,2021,355968,0,474606,0,118638
2,amazonia,Pastaza,114202,31,7,2021,322691,0,403729,0,81038
