provincia,poblacion,total,nuevas,semana,anio
Cotopaxi,488716,343,12,4,2021
El Oro,715751,631,21,4,2021
Esmeraldas,591083,247,1,4,2021
Galápagos,33042,8,1,4,2021
Guayas,4387434,1949,24,4,2021
Imbabura,476257,231,3,4,2021
Loja,521154,261,6,4,2021
Los Ríos,921763,365,0,4,2021
Manabí,1562079,1412,34,4,2021
Morona Santiago,196535,39,1,4,2021
Napo,133705,80,0,4,2021
Orellana,161338,56,1,4,2021
Pastaza,114202,67,2,4,2021
Pichincha,3228233,2108,25,4,2021
Santa Elena,401178,407,1,4,2021
Sto. Domingo Tsáchilas,511151,414,13,4,2021
Sucumbíos,230503,108,1,4,2021
Tungurahua,590600,390,10,4,2021
Zamora Chinchipe,120416,58,2,4,2021
Azuay,881394,280,13,5,2021
Bolívar,209933,75,0,5,2021
Carchi,186869,171,5,5,2021
Cañar,281396,109,0,5,2021
Chimborazo,524004,387,1,5,2021
Cotopaxi,488716,353,10,5,2021
El Oro,715751,647,16,5,2021
Esmeraldas,591083,247,0,5,2021
Galápagos,33042,8,0,5,2021
Guayas,4387434,1959,10,5,2021
Imbabura,476257,236,5,5,2021
Loja,521154,273,12,5,2021
Los Ríos,921763,368,3,5,2021
Manabí,1562079,1441,29,5,2021
Morona Santiago,196535,41,2,5,2021
Napo,133705,80,0,5,2021
Orellana,161338,57,1,5,2021
Pastaza,114202,67,0,5,2021
Pichincha,3228233,2122,14,5,2021
Santa Elena,401178,408,1,5,2021
Sto. Domingo Tsáchilas,511151,419,5,5,2021
Sucumbíos,230503,108,0,5,2021
Tungurahua,590600,404,14,5,2021
Zamora Chinchipe,120416,58,0,5,2021
Azuay,881394,297,17,6,2021
Bolívar,209933,76,1,6,2021
Carchi,186869,176,5,6,2021
Cañar,281396,110,1,6,2021
Chimborazo,524004,392,5,6,2021
Cotopaxi,488716,363,10,6,2021
El Oro,715751,668,21,6,2021
Esmeraldas,591083,260,13,6,2021
Galápagos,33042,8,0,6,2021
Guayas,4387434,2028,69,6,2021
Imbabura,476257,245,9,6,2021
Loja,521154,278,5,6,2021
Los Ríos,921763,375,7,6,2021
Manabí,1562079,1495,54,6,2021
Morona Santiago,196535,41,0,6,2021
Napo,133705,80,0,6,2021
Orellana,161338,58,1,6,2021
Pastaza,114202,67,0,6,2021
Pichincha,3228233,2151,29,6,2021
Santa Elena,401178,410,2,6,2021
Sto. Domingo Tsáchilas,511151,432,13,6,2021
Sucumbíos,230503,108,0,6,2021
Tungurahua,590600,423,19,6,2021
Zamora Chinchipe,120416,58,0,6,2021
Azuay,881394,300,3,7,2021
Bolívar,209933,77,1,7,2021
Carchi,186869,183,7,7,2021
Cañar,281396,110,0,7,2021
Chimborazo,524004,394,2,7,2021
Cotopaxi,488716,373,10,7,2021
El Oro,715751,710,42,7,2021
Esmeraldas,591083,264,4,7,2021
Galápagos,33042,8,0,7,2021
Guayas,4387434,2055,27,7,2021
Imbabura,476257,247,2,7,2021
Loja,521154,284,6,7,2021
Los Ríos,921763,378,3,7,2021
Manabí,1562079,1534,39,7,2021
Morona Santiago,196535,41,0,7,2021
Napo,133705,80,0,7,2021
Orellana,161338,58,0,7,2021
Pastaza,114202,67,0,7,2021
Pichincha,3228233,2178,27,7,2021
Santa Elena,401178,410,0,7,2021
Sto. Domingo Tsáchilas,511151,448,16,7,2021
Sucumbíos,230503,108,0,7,2021
Tungurahua,590600,430,7,7,2021
Zamora Chinchipe,120416,59,1,7,2021
Azuay,881394,305,5,8,2021
Bolívar,209933,81,4,8,2021
Carchi,186869,187,4,8,2021
Cañar,281396,112,2,8,2021
Chimborazo,524004,398,4,8,2021
Cotopaxi,488716,388,15,8,2021
El Oro,715751,721,11,8,2021
Esmeraldas,591083,267,3,8,2021
Galápagos,33042,8,0,8,2021
Guayas,4387434,2070,15,8,2021
Imbabura,476257,258,11,8,2021
Loja,521154,291,7,8,2021
Los Ríos,921763,380,2,8,2021
Manabí,1562079,1573,39,8,2021
Morona Santiago,196535,41,0,8,2021
Napo,133705,84,4,8,2021
Orellana,161338,59,1,8,2021
Pastaza,114202,67,0,8,2021
Pichincha,3228233,2296,118,8,2021
Santa Elena,401178,410,0,8,2021
Sto. Domingo Tsáchilas,511151,461,13,8,2021
Sucumbíos,230503,109,1,8,2021
Tungurahua,590600,432,2,8,2021
Zamora Chinchipe,120416,60,1,8,2021
Azuay,881394,316,11,9,2021
Bolívar,209933,82,1,9,2021
Carchi,186869,194,7,9,2021
Cañar,281396,112,0,9,2021
Chimborazo,524004,401,3,9,2021
Cotopaxi,488716,390,2,9,2021
El Oro,715751,727,6,9,2021
Esmeraldas,591083,276,9,9,2021
Galápagos,33042,8,0,9,2021
Guayas,4387434,2084,14,9,2021
Imbabura,476257,264,6,9,2021
Loja,521154,303,12,9,2021
Los Ríos,921763,393,13,9,2021
Manabí,1562079,1614,41,9,2021
Morona Santiago,196535,45,4,9,2021
Napo,133705,84,0,9,2021
Orellana,161338,59,0,9,2021
Pastaza,114202,67,0,9,2021
Pichincha,3228233,2344,48,9,2021
Santa Elena,401178,410,0,9,2021
Sto. Domingo Tsáchilas,511151,480,19,9,2021
Sucumbíos,230503,110,1,9,2021
Tungurahua,590600,432,0,9,2021
Zamora Chinchipe,120416,63,3,9,2021
Azuay,881394,321,5,10,2021
Bolívar,209933,83,1,10,2021
Carchi,186869,197,3,10,2021
Cañar,281396,113,1,10,2021
Chimborazo,524004,402,1,10,2021
Cotopaxi,488716,392,2,10,2021
El Oro,715751,737,10,10,2021
Esmeraldas,591083,277,1,10,2021
Galápagos,33042,8,0,10,2021
Guayas,4387434,2099,15,10,2021
Imbabura,476257,272,8,10,2021
Loja,521154,319,16,10,2021
Los Ríos,921763,395,2,10,2021
Manabí,1562079,1659,45,10,2021
Morona Santiago,196535,47,2,10,2021
Napo,133705,87,3,10,2021
Orellana,161338,61,2,10,2021
Pastaza,114202,69,2,10,2021
Pichincha,3228233,2396,52,10,2021
Santa Elena,401178,410,0,10,2021
Sto. Domingo Tsáchilas,511151,490,10,10,2021
Sucumbíos,230503,113,3,10,2021
Tungurahua,590600,433,1,10,2021
Zamora Chinchipe,120416,66,3,10,2021
Azuay,881394,324,3,11,2021
Bolívar,209933,84,1,11,2021
Carchi,186869,200,3,11,2021
Cañar,281396,114,1,11,2021
Chimborazo,524004,404,2,11,2021
Cotopaxi,488716,394,2,11,2021
El Oro,715751,756,19,11,2021
Esmeraldas,591083,288,11,11,2021
Galápagos,33042,9,1,11,2021
Guayas,4387434,2109,10,11,2021
Imbabura,476257,275,3,11,2021
Loja,521154,332,13,11,2021
Los Ríos,921763,396,1,11,2021
Manabí,1562079,1701,42,11,2021
Morona Santiago,196535,47,0,11,2021
Napo,133705,90,3,11,2021
Orellana,161338,62,1,11,2021
Pastaza,114202,72,3,11,2021
Pichincha,3228233,2446,50,11,2021
Santa Elena,401178,410,0,11,2021
Sto. Domingo Tsáchilas,511151,501,11,11,2021
Sucumbíos,230503,119,6,11,2021
Tungurahua,590600,437,4,11,2021
Zamora Chinchipe,120416,67,1,11,2021
Azuay,881394,338,14,12,2021
Bolívar,209933,85,1,12,2021
Carchi,186869,207,7,12,2021
Cañar,281396,116,2,12,2021
Chimborazo,524004,408,4,12,2021
Cotopaxi,488716,397,3,12,2021
El Oro,715751,770,14,12,2021
Esmeraldas,591083,302,14,12,2021
Galápagos,33042,9,0,12,2021
Guayas,4387434,2132,23,12,2021
Imbabura,476257,280,5,12,2021
Loja,521154,347,15,12,2021
Los Ríos,921763,407,11,12,2021
Manabí,1562079,1767,66,12,2021
Morona Santiago,196535,48,1,12,2021
Napo,133705,90,0,12,2021
Orellana,161338,62,0,12,2021
Pastaza,114202,72,0,12,2021
Pichincha,3228233,2474,28,12,2021
Santa Elena,401178,410,0,12,2021
Sto. Domingo Tsáchilas,511151,522,21,12,2021
Sucumbíos,230503,123,4,12,2021
Tungurahua,590600,437,0,12,2021
Zamora Chinchipe,120416,69,2,12,2021
Azuay,881394,344,6,13,2021
Bolívar,209933,87,2,13,2021
Carchi,186869,212,5,13,2021
Cañar,281396,118,2,13,2021
Chimborazo,524004,409,1,13,2021
Cotopaxi,488716,401,4,13,2021
El Oro,715751,788,18,13,2021
Esmeraldas,591083,303,1,13,2021
Galápagos,33042,9,0,13,2021
Guayas,4387434,2146,14,13,2021
Imbabura,476257,290,10,13,2021
Loja,521154,372,25,13,2021
Los Ríos,921763,412,5,13,2021
Manabí,1562079,1808,41,13,2021
Morona Santiago,196535,49,1,13,2021
Napo,133705,91,1,13,2021
Orellana,161338,63,1,13,2021
Pastaza,114202,73,1,13,2021
Pichincha,3228233,2507,33,13,2021
Santa Elena,401178,410,0,13,2021
Sto. Domingo Tsáchilas,511151,534,12,13,2021
Sucumbíos,230503,127,4,13,2021
Tungurahua,590600,437,0,13,2021
Zamora Chinchipe,120416,70,1,13,2021
Azuay,881394,355,11,14,2021
Bolívar,209933,88,1,14,2021
Carchi,186869,219,7,14,2021
Cañar,281396,121,3,14,2021
Chimborazo,524004,413,4,14,2021
Cotopaxi,488716,405,4,14,2021
El Oro,715751,818,30,14,2021
Esmeraldas,591083,317,14,14,2021
Galápagos,33042,9,0,14,2021
Guayas,4387434,2161,15,14,2021
Imbabura,476257,298,8,14,2021
Loja,521154,395,23,14,2021
Los Ríos,921763,417,5,14,2021
Manabí,1562079,1878,70,14,2021
Morona Santiago,196535,50,1,14,2021
Napo,133705,91,0,14,2021
Orellana,161338,65,2,14,2021
Pastaza,114202,73,0,14,2021
Pichincha,3228233,2587,80,14,2021
Santa Elena,401178,410,0,14,2021
Sto. Domingo Tsáchilas,511151,553,19,14,2021
Sucumbíos,230503,132,5,14,2021
Tungurahua,590600,439,2,14,2021
Zamora Chinchipe,120416,76,6,14,2021
Azuay,881394,358,3,15,2021
Bolívar,209933,92,4,15,2021
Carchi,186869,219,0,15,2021
Cañar,281396,122,1,15,2021
Chimborazo,524004,416,3,15,2021
Cotopaxi,488716,407,2,15,2021
El Oro,715751,842,24,15,2021
Esmeraldas,591083,324,7,15,2021
Galápagos,33042,9,0,15,2021
Guayas,4387434,2243,82,15,2021
Imbabura,476257,310,12,15,2021
Loja,521154,419,24,15,2021
Los Ríos,921763,428,11,15,2021
Manabí,1562079,1932,54,15,2021
Morona Santiago,196535,53,3,15,2021
Napo,133705,92,1,15,2021
Orellana,161338,65,0,15,2021
Pastaza,114202,74,1,15,2021
Pichincha,3228233,2677,90,15,2021
Santa Elena,401178,410,0,15,2021
Sto. Domingo Tsáchilas,511151,570,17,15,2021
Sucumbíos,230503,137,5,15,2021
Tungurahua,590600,440,1,15,2021
Zamora Chinchipe,120416,81,5,15,2021
Azuay,881394,372,14,16,2021
Bolívar,209933,98,6,16,2021
Carchi,186869,228,9,16,2021
Cañar,281396,125,3,16,2021
Chimborazo,524004,417,1,16,2021
Cotopaxi,488716,413,6,16,2021
El Oro,715751,871,29,16,2021
Esmeraldas,591083,344,20,16,2021
Galápagos,33042,9,0,16,2021
Guayas,4387434,2310,67,16,2021
Imbabura,476257,327,17,16,2021
Loja,521154,453,34,16,2021
Los Ríos,921763,431,3,16,2021
Manabí,1562079,2030,98,16,2021
Morona Santiago,196535,54,1,16,2021
Napo,133705,94,2,16,2021
Orellana,161338,66,1,16,2021
Pastaza,114202,74,0,16,2021
Pichincha,3228233,2711,34,16,2021
Santa Elena,401178,410,0,16,2021
Sto. Domingo Tsáchilas,511151,586,16,16,2021
Sucumbíos,230503,146,9,16,2021
Tungurahua,590600,443,3,16,2021
Zamora Chinchipe,120416,86,5,16,2021
Azuay,881394,405,33,17,2021
Bolívar,209933,99,1,17,2021
Carchi,186869,233,5,17,2021
Cañar,281396,125,0,17,2021
Chimborazo,524004,420,3,17,2021
Cotopaxi,488716,419,6,17,2021
El Oro,715751,922,51,17,2021
Esmeraldas,591083,354,10,17,2021
Galápagos,33042,9,0,17,2021
Guayas,4387434,2389,79,17,2021
Imbabura,476257,340,13,17,2021
Loja,521154,483,30,17,2021
Los Ríos,921763,438,7,17,2021
Manabí,1562079,2163,133,17,2021
Morona Santiago,196535,54,0,17,2021
Napo,133705,96,2,17,2021
Orellana,161338,67,1,17,2021
Pastaza,114202,74,0,17,2021
Pichincha,3228233,2782,71,17,2021
Santa Elena,401178,411,1,17,2021
Sto. Domingo Tsáchilas,511151,614,28,17,2021
Sucumbíos,230503,150,4,17,2021
Tungurahua,590600,444,1,17,2021
Zamora Chinchipe,120416,88,2,17,2021
Azuay,881394,433,28,18,2021
Bolívar,209933,101,2,18,2021
Carchi,186869,249,16,18,2021
Cañar,281396,128,3,18,2021
Chimborazo,524004,424,4,18,2021
Cotopaxi,488716,449,30,18,2021
El Oro,715751,960,38,18,2021
Esmeraldas,591083,357,3,18,2021
Galápagos,33042,10,1,18,2021
Guayas,4387434,2438,49,18,2021
Imbabura,476257,360,20,18,2021
Loja,521154,505,22,18,2021
Los Ríos,921763,444,6,18,2021
Manabí,1562079,2250,87,18,2021
Morona Santiago,196535,55,1,18,2021
Napo,133705,97,1,18,2021
Orellana,161338,69,2,18,2021
Pastaza,114202,80,6,18,2021
Pichincha,3228233,2846,64,18,2021
Santa Elena,401178,412,1,18,2021
Sto. Domingo Tsáchilas,511151,621,7,18,2021
Sucumbíos,230503,159,9,18,2021
Tungurahua,590600,460,16,18,2021
Zamora Chinchipe,120416,90,2,18,2021
Azuay,881394,468,35,19,2021
Bolívar,209933,105,4,19,2021
Carchi,186869,255,6,19,2021
Cañar,281396,132,4,19,2021
Chimborazo,524004,508,84,19,2021
Cotopaxi,488716,466,17,19,2021
El Oro,715751,999,39,19,2021
Esmeraldas,591083,371,14,19,2021
Galápagos,33042,10,0,19,2021
Guayas,4387434,2485,47,19,2021
Imbabura,476257,375,15,19,2021
Loja,521154,520,15,19,2021
Los Ríos,921763,453,9,19,2021
Manabí,1562079,2311,61,19,2021
Morona Santiago,196535,56,1,19,2021
Napo,133705,100,3,19,2021
Orellana,161338,79,10,19,2021
Pastaza,114202,82,2,19,2021
Pichincha,3228233,2873,27,19,2021
Santa Elena,401178,413,1,19,2021
Sto. Domingo Tsáchilas,511151,633,12,19,2021
Sucumbíos,230503,165,6,19,2021
Tungurahua,590600,464,4,19,2021
Zamora Chinchipe,120416,92,2,19,2021
Azuay,881394,479,11,20,2021
Bolívar,209933,105,0,20,2021
Carchi,186869,263,8,20,2021
Cañar,281396,132,0,20,2021
Chimborazo,524004,517,9,20,2021
Cotopaxi,488716,492,26,20,2021
El Oro,715751,1020,21,20,2021
Esmeraldas,591083,376,5,20,2021
Galápagos,33042,10,0,20,2021
Guayas,4387434,2557,72,20,2021
Imbabura,476257,390,15,20,2021
Loja,521154,534,14,20,2021
Los Ríos,921763,465,12,20,2021
Manabí,1562079,2386,75,20,2021
Morona Santiago,196535,57,1,20,2021
Napo,133705,103,3,20,2021
Orellana,161338,79,0,20,2021
Pastaza,114202,83,1,20,2021
Pichincha,3228233,2934,61,20,2021
Santa Elena,401178,413,0,20,2021
Sto. Domingo Tsáchilas,511151,641,8,20,2021
Sucumbíos,230503,167,2,20,2021
Tungurahua,590600,468,4,20,2021
Zamora Chinchipe,120416,93,1,20,2021
Azuay,881394,486,7,21,2021
Bolívar,209933,106,1,21,2021
Carchi,186869,266,3,21,2021
Cañar,281396,133,1,21,2021
Chimborazo,524004,518,1,21,2021
Cotopaxi,488716,506,14,21,2021
El Oro,715751,1041,21,21,2021
Esmeraldas,591083,379,3,21,2021
Galápagos,33042,10,0,21,2021
Guayas,4387434,2623,66,21,2021
Imbabura,476257,394,4,21,2021
Loja,521154,540,6,21,2021
Los Ríos,921763,471,6,21,2021
Manabí,1562079,2427,41,21,2021
Morona Santiago,196535,57,0,21,2021
Napo,133705,104,1,21,2021
Orellana,161338,83,4,21,2021
Pastaza,114202,84,1,21,2021
Pichincha,3228233,3027,93,21,2021
Santa Elena,401178,417,4,21,2021
Sto. Domingo Tsáchilas,511151,664,23,21,2021
Sucumbíos,230503,171,4,21,2021
Tungurahua,590600,469,1,21,2021
Zamora Chinchipe,120416,94,1,21,2021
Azuay,881394,490,4,22,2021
Bolívar,209933,107,1,22,2021
Carchi,186869,270,4,22,2021
Cañar,281396,134,1,22,2021
Chimborazo,524004,518,0,22,2021
Cotopaxi,488716,518,12,22,2021
El Oro,715751,1050,9,22,2021
Esmeraldas,591083,384,5,22,2021
Galápagos,33042,10,0,22,2021
Guayas,4387434,2677,54,22,2021
Imbabura,476257,399,5,22,2021
Loja,521154,543,3,22,2021
Los Ríos,921763,473,2,22,2021
Manabí,1562079,2462,35,22,2021
Morona Santiago,196535,58,1,22,2021
Napo,133705,106,2,22,2021
Orellana,161338,91,8,22,2021
Pastaza,114202,84,0,22,2021
Pichincha,3228233,3067,40,22,2021
Santa Elena,401178,418,1,22,2021
Sto. Domingo Tsáchilas,511151,676,12,22,2021
Sucumbíos,230503,172,1,22,2021
Tungurahua,590600,486,17,22,2021
Zamora Chinchipe,120416,96,2,22,2021
Azuay,881394,494,4,23,2021
Bolívar,209933,108,1,23,2021
Carchi,186869,274,4,23,2021
Cañar,281396,135,1,23,2021
Chimborazo,524004,520,2,23,2021
Cotopaxi,488716,546,28,23,2021
El Oro,715751,1061,11,23,2021
Esmeraldas,591083,385,1,23,2021
Galápagos,33042,10,0,23,2021
Guayas,4387434,2696,19,23,2021
Imbabura,476257,405,6,23,2021
Loja,521154,550,7,23,2021
Los Ríos,921763,483,10,23,2021
Manabí,1562079,2492,30,23,2021
Morona Santiago,196535,58,0,23,2021
Napo,133705,106,0,23,2021
Orellana,161338,92,1,23,2021
Pastaza,114202,85,1,23,2021
Pichincha,3228233,3104,37,23,2021
Santa Elena,401178,420,2,23,2021
Sto. Domingo Tsáchilas,511151,682,6,23,2021
Sucumbíos,230503,173,1,23,2021
Tungurahua,590600,506,20,23,2021
Zamora Chinchipe,120416,98,2,23,2021
Azuay,881394,505,11,24,2021
Bolívar,209933,111,3,24,2021
Carchi,186869,275,1,24,2021
Cañar,281396,137,2,24,2021
Chimborazo,524004,523,3,24,2021
Cotopaxi,488716,576,30,24,2021
El Oro,715751,1083,22,24,2021
Esmeraldas,591083,385,0,24,2021
Galápagos,33042,10,0,24,2021
Guayas,4387434,2704,8,24,2021
Imbabura,476257,408,3,24,2021
Loja,521154,555,5,24,2021
Los Ríos,921763,487,4,24,2021
Manabí,1562079,2507,15,24,2021
Morona Santiago,196535,58,0,24,2021
Napo,133705,107,1,24,2021
Orellana,161338,93,1,24,2021
Pastaza,114202,86,1,24,2021
Pichincha,3228233,3137,33,24,2021
Santa Elena,401178,421,1,24,2021
Sto. Domingo Tsáchilas,511151,690,8,24,2021
Sucumbíos,230503,173,0,24,2021
Tungurahua,590600,572,66,24,2021
Zamora Chinchipe,120416,100,2,24,2021
Azuay,881394,514,9,25,2021
Bolívar,209933,111,0,25,2021
Carchi,186869,283,8,25,2021
Cañar,281396,137,0,25,2021
Chimborazo,524004,524,1,25,2021
Cotopaxi,488716,580,4,25,2021
El Oro,715751,1091,8,25,2021
Esmeraldas,591083,388,3,25,2021
Galápagos,33042,10,0,25,2021
Guayas,4387434,2720,16,25,2021
Imbabura,476257,415,7,25,2021
Loja,521154,560,5,25,2021
Los Ríos,921763,491,4,25,2021
Manabí,1562079,2524,17,25,2021
Morona Santiago,196535,59,1,25,2021
Napo,133705,107,0,25,2021
Orellana,161338,96,3,25,2021
